cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,limite_indicative,limite_indicative_unite,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire,web_label,statut_autorisation,commentaire
PFUNA,6510,ACIDE PERFLUORO UNDECANOÏQUE,Acide perfluoro undecanoïque (PFUnA),2058-94-8,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFUnA,,
PFHPS,6542,ACIDE PERFLUOROHEPTANE SULFONIQUE,Acide perfluoroheptane sulfonique (PFHpS),375-92-8,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFHpS,,
PFTRDA,6549,ACIDE PERFLUORO TRIDECANOIQUE,Acide perfluoro tridecanoique (PFTrDA),72629-94-8,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFTrDA,,
PFDS,6550,ACIDE PERFLUORODECANE SULFONIQUE ,Acide perfluorodecane sulfonique ,335-77-3,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFDS,,
ASPFOS,6560,ACIDE PERFLUOROOCTANE SULFONIQUE,Acide perfluorooctane sulfonique (PFOS),1763-23-1,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,ASPFOS,,
PFOS,6561,ACIDE SULFONIQUE DE PERFLUOROOCTANE,Acide sulfonique de perfluorooctane,1763-23-1,pfas,,,,,,,,0.18,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017 (Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses),,,,PFOS,,
PFHXS,6830,PERFLUOROHEXANE SULFONATE,Perfluorohexane sulfonate,355-46-4,pfas,,,,,,,,12,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017 (Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses),,,,PFHxS,,
PFPS,8738,ACIDE PERFLUOROPENTANE SULFONIQUE,Acide perfluoropentane sulfonique (PFPS),2706-91-4,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFPS,,
PFNS,8739,ACIDE PERFLUORONONANE SULFONIQUE,Acide perfluorononane sulfonique (PFNS),68259-12-1,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFNS,,
PFUNDS,8740,ACIDE PERFLUORO UNDECANE SULFONIQUE,Acide perfluoro undecane sulfonique (PFUnDS),749786-16-1,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFUnDS,,
PFDODS,8741,ACIDE PERFLUORODODÉCANE SULFONIQUE ,Acide perfluorododécane sulfonique (PFDoDS),79780-39-5,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFDoDS,,
PFTRDS,8742,ACIDE PERFLUORO TRIDECANE SULFONIQUE,Acide perfluoro tridecane sulfonique (PFTrDS),791563-89-8,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFTrDS,,
SPFAS,8847,SOMME DE 20 PFAS,Somme de 20 substances perfluoroalkylées (PFAS),,pfas,,,0.1,µg/L,"Limite de qualité réglementaire pour la somme des concentrations de 20 PFAS issue de la Directive européenne ""eau potable"", adoptée officiellement par la France. Attention, cette norme est critiquée par la communauté scientifique qui ne la juge pas suffisamment protectrice",,,,,,,,,Somme des 20 PFAS,,
SUM_4_PFAS,, ,Somme de 4 PFAS (PFOA PFOS PFNA PFHXS),,pfas,,,0.02,µg/L,"Limite non réglementaire, recommandée par le Haut Conseil de la Santé publique pour la somme des concentrations de 4 PFAS (PFOA, PFOS, PFNA, PFHxS). Valeur non retenue par le ministère de la Santé.",,,,,,,,,Somme des 4 PFAS,,
CLVYL,1753,CHLORURE DE VINYL MONOMÈRE,Chlorure de vinyl monomère,75-01-4,cvm,,,0.5,µg/L,,,,,,,,,,Chlorure de vinyl monomère,,
NO3,1340,NITRATES (EN NO3),Nitrates (en NO3),14797-55-8,nitrate,,,,,,,,50,mg/L,Limite réglementaire et sanitaire ,,,,Nitrates (en NO3),,
AS,1369,ARSENIC,Arsenic,7440-38-2,metaux_lourds,,,10,µg/L,Limite réglementaire,,,13,µg/L,,,,,Arsenic,,
PB,1382,PLOMB,Plomb,7439-92-1,metaux_lourds,,,10,µg/L,Limite réglementaire applicable jusqu'au 31 décembre 2035,,,,,,,,,Plomb,,
14DAN,1580,"1,4 DIOXANE","1,4 dioxane",123-91-1,substances_indus,,,,,Il n'existe pas de valeur réglementaire pour cette substance,,,0.35,µg/L,Limite non réglementaire préconisée par l'agence américaine de protection de l'environnement et recommandée par les ARS,,,,"1,4 dioxane",,
PCLAT,6219,PERCHLORATE,Perchlorate,14797-73-0,substances_indus,,,,,Il n'existe pas de valeur réglementaire pour cette substance,,,4,µg/L,Le ministère de la santé recommande de limiter l’utilisation d’eau dont la teneur en ions perchlorate dépasse 4 µg/L pour la préparation des biberons des nourrissons de moins de 6 mois ,15,µg/L,Le ministère de la santé recommande de limiter la consommation d’eau dont la teneur en ions perchlorate dépasse 15 µg/L pour les femmes enceintes et allaitantes (protégeant ainsi fœtus et nourrissons).,Perchlorate,,
CLMPE,1083,CHLORPYRIPHOS ÉTHYL,Chlorpyriphos éthyl,2921-88-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,30,µg/L,Vmax établie par l'Anses en 2008,,,,Chlorpyriphos éthyl,,
PSFC,1092,PROSULFOCARBE,Prosulfocarbe,52888-80-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,11,µg/L,Vmax établie par l'Anses en 2020,,,,Prosulfocarbe,Autorisé,
THIODIC,1093,THIODICARBE,Thiodicarbe,59669-26-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Thiodicarbe,,
CHINE,1094,LAMBDA CYHALOTHRINE,Lambda Cyhalothrine,91465-08-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Lambda Cyhalothrine,,
ACP,1100,ACÉPHATE,Acéphate,30560-19-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Acéphate,,
ALCL,1101,ALACHLORE,Alachlore,15972-60-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,2,µg/L,"Vmax établie par l'Anses en 2007 2 (associée à ERI =
 10-6)",,,,Alachlore,,
ADC,1102,ALDICARBE,Aldicarbe,0116-06-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,10,µg/L,Vmax établie par l'Anses en 2007,,,,Aldicarbe,,
ALDR,1103,ALDRINE,Aldrine,309-00-2,pesticide,sub_active,,0.03,µg/L,Limite de qualité réglementaire pour la substance active aldrine,,,0.03,µg/L,Vmax établie par l'Anses en 2007 (0.03 µg/L pour la somme de l'aldrine et dieldrine),,,,Aldrine,,
AMTH,1104,AMÉTHRYNE,Améthryne,0834-12-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,216,µg/L,Vmax établie par l'Anses en 2013,,,,Améthryne,,
AMNTZ,1105,AMINOTRIAZOLE,Aminotriazole,61-82-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,3,µg/L,Vmax établie par l'Anses en 2007,,,,Aminotriazole,Interdit,
ATRZ,1107,ATRAZINE,Atrazine,1912-24-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2016,,,,Atrazine,Interdit,
ADET,1108,ATRAZINE DÉSÉTHYL,Atrazine déséthyl,6190-65-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2016,,,,Atrazine déséthyl,Interdit,
ADSP,1109,ATRAZINE-DÉISOPROPYL,Atrazine-déisopropyl,1007-28-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2016,,,,Atrazine-déisopropyl,Interdit,
AZINE,1110,AZINPHOS ÉTHYL,Azinphos éthyl,2642-71-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Azinphos éthyl,,
AZIN,1111,AZINPHOS MÉTHYL,Azinphos méthyl,86-50-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Azinphos méthyl,,
BFLN,1112,BENFLURALINE,Benfluraline,1861-40-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Benfluraline,,
BTZ,1113,BENTAZONE,Bentazone,25057-89-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,300,µg/L,Vmax établie par l'Anses en 2007,,,,Bentazone,Autorisé,
BFNX,1119,BIFENOX,Bifenox,42576-02-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bifenox,,
BFINE,1120,BIFENTHRINE,Bifenthrine,82657-04-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bifenthrine,,
BROMOE,1123,BROMOPHOS ÉTHYL,Bromophos éthyl,4824-78-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bromophos éthyl,,
BRPH,1124,BROMOPHOS MÉTHYL,Bromophos méthyl,2104-96-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bromophos méthyl,,
BRXY,1125,BROMOXYNIL,Bromoxynil,1689-84-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bromoxynil,,
BUT,1126,BUTRALINE,Butraline,33629-47-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Butraline,,
CPT,1127,CAPTAFOL,Captafol,01/06/2425,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Captafol,,
CAPT,1128,CAPTANE,Captane,0133-06-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Captane,,
CBDZ,1129,CARBENDAZIME,Carbendazime,10605-21-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2008,,,,Carbendazime,Interdit,
CARBR,1130,CARBOFURAN,Carbofuran,1563-66-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,3,µg/L,Vmax établie par l'Anses en 2007,,,,Carbofuran,,
CBPT,1131,CARBOPHÉNOTION,Carbophénotion,786-19-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Carbophénotion,,
CLAN,1132,CHLORDANE,Chlordane,57-74-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlordane,,
CLDZ,1133,CHLORIDAZONE,Chloridazone,1698-60-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,300,µg/L,Vmax établie par l'Anses en 2017,,,,Chloridazone,,
CLMP,1134,CHLORMÉPHOS,Chlorméphos,24934-91-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlorméphos,,
CTOL,1136,CHLORTOLURON,Chlortoluron,15545-48-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,30,µg/L,Vmax établie par l'Anses en 2007,,,,Chlortoluron,Autorisé,
CYANZ,1137,CYANAZINE,Cyanazine,21725-46-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.6,µg/L,Vmax établie par l'Anses en 2007,,,,Cyanazine,,
CYHAL,1138,CYHALOTHRINE,Cyhalothrine,68085-85-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cyhalothrine,,
CYM,1139,CYMOXANIL,Cymoxanil,57966-95-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,1.5,µg/L,Vmax établie par l'Anses en 2020,,,,Cymoxanil,,
CYINE,1140,CYPERMÉTHRINE,Cyperméthrine,52315-07-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cyperméthrine,,
24D,1141,"2,4-D","2,4-D",94-75-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,30,µg/L,Vmax établie par l'Anses en 2007,,,,"2,4-D",Autorisé,
24DB,1142,"2,4-DB","2,4-DB",94-82-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"2,4-DB",,
DDD24,1143,"DDD-2,4'","DDD-2,4'",53-19-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"DDD-2,4'",,
DDD44,1144,"DDD-4,4'","DDD-4,4'",72-54-8,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de Vmax en 2008,,,,"DDD-4,4'",,
DDE24,1145,"DDE-2,4'","DDE-2,4'",3424-82-6,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"DDE-2,4'",,
DDE44,1146,"DDE-4,4'","DDE-4,4'",72-55-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"DDE-4,4'",,
DDT24,1147,"DDT-2,4'","DDT-2,4'",0789-02-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"DDT-2,4'",,
DDT44,1148,"DDT-4,4'","DDT-4,4'",50-29-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"DDT-4,4'",,
DTINE,1149,DELTAMÉTHRINE,Deltaméthrine,52918-63-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Deltaméthrine,,
SYSTOX,1150,DÉMÉTON-O,Déméton-O,0298-03-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Déméton-O,,
DMTS,1152,DÉMÉTON-S,Déméton-S,126-75-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Déméton-S,,
DMTSM,1153,DEMETON S MÉTHYL,Demeton S méthyl,919-86-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Demeton S méthyl,,
DMTE,1154,DEMÉTON S MÉTHYL SULFONÉ,Deméton S méthyl sulfoné,17040-19-6,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Deméton S méthyl sulfoné,,
DMTRY,1155,DESMÉTRYNE,Desmétryne,1014-69-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Desmétryne,,
DLL,1156,DIALLATE,Diallate,2303-16-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Diallate,,
DIAZ,1157,DIAZINON,Diazinon,333-41-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.6,µg/L,Vmax établie par l'Anses en 2008,,,,Diazinon,,
DCFT,1159,DICHLOFENTHION,Dichlofenthion,97-17-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dichlofenthion,,
DCP,1169,DICHLORPROP,Dichlorprop,120-36-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,110,µg/L,Vmax établie par l'Anses en 2008,,,,Dichlorprop,Interdit,
DDVP,1170,DICHLORVOS,Dichlorvos,62-73-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.24,µg/L,Vmax établie par l'Anses en 2007,,,,Dichlorvos,,
DCFMT,1171,DICLOFOP MÉTHYL,Diclofop méthyl,51338-27-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Diclofop méthyl,,
DCFL,1172,DICOFOL,Dicofol,115-32-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dicofol,,
HEOD,1173,DIELDRINE,Dieldrine,60-57-1,pesticide,sub_active,,0.03,µg/L,Limite de qualité réglementaire pour la substance active dieldrine,,,0.03,µg/L,Vmax établie par l'Anses en 2007 (0.03 µg/L pour la somme de l'aldrine et dieldrine),,,,Dieldrine,Interdit,
DIMTH,1175,DIMÉTHOATE,Diméthoate,60-51-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Diméthoate,,
DTERB,1176,DINOTERBE,Dinoterbe,1420-07-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de valeur sanitaire en 2019,,,,Dinoterbe,Interdit,
DIU,1177,DIURON,Diuron,330-54-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,21,µg/L,Vmax établie par l'Anses en 2007,,,,Diuron,Interdit,
ENDOA,1178,ENDOSULFAN ALPHA,Endosulfan alpha,959-98-8,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,180,µg/L,Vmax établie par l'Anses en 2013,,,,Endosulfan alpha,,
ENDOB,1179,ENDOSULFAN BÉTA,Endosulfan béta,33213-65-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Endosulfan béta,,
ENDR,1181,ENDRINE,Endrine,72-20-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Endrine,,
EPTC,1182,EPTC,EPTC,759-94-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,EPTC,,
ETHION,1183,ETHION,Ethion,0563-12-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,6,µg/L,Vmax établie par l'Anses en 2008,,,,Ethion,,
ETFS,1184,ETHOFUMÉSATE,Ethofumésate,26225-79-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,667,µg/L,Vmax établie par l'Anses en 2020,,,,Ethofumésate,Autorisé,
